,operatetime,_c1,day,hour,period,day_type,timestamp
503,2022050500,115,860,0,3,1,1651680000.0
504,2022050423,457,859,23,3,2,1651676400.0
505,2022050422,709,859,22,2,2,1651672800.0
506,2022050421,1178,859,21,2,2,1651669200.0
507,2022050420,1423,859,20,2,2,1651665600.0
508,2022050419,1724,859,19,2,2,1651662000.0
509,2022050418,2244,859,18,1,2,1651658400.0
510,2022050417,3271,859,17,1,2,1651654800.0
511,2022050416,4107,859,16,1,2,1651651200.0
512,2022050415,4386,859,15,1,2,1651647600.0
513,2022050414,3921,859,14,1,2,1651644000.0
514,2022050413,2747,859,13,1,2,1651640400.0
515,2022050412,2470,859,12,1,2,1651636800.0
516,2022050411,3693,859,11,1,2,1651633200.0
517,2022050410,5064,859,10,1,2,1651629600.0
518,2022050409,5903,859,9,1,2,1651626000.0
519,2022050408,4299,859,8,1,2,1651622400.0
520,2022050407,652,859,7,2,2,1651618800.0
521,2022050406,115,859,6,3,2,1651615200.0
522,2022050405,61,859,5,3,2,1651611600.0
523,2022050404,7,859,4,3,2,1651608000.0
524,2022050403,48,859,3,3,2,1651604400.0
525,2022050402,14,859,2,3,2,1651600800.0
526,2022050401,85,859,1,3,2,1651597200.0
527,2022050400,115,859,0,3,2,1651593600.0
528,2022050323,319,858,23,3,2,1651590000.0
529,2022050322,601,858,22,2,2,1651586400.0
530,2022050321,874,858,21,2,2,1651582800.0
531,2022050320,1091,858,20,2,2,1651579200.0
532,2022050319,1429,858,19,2,2,1651575600.0
533,2022050318,1941,858,18,1,2,1651572000.0
534,2022050317,3159,858,17,1,2,1651568400.0
535,2022050316,3667,858,16,1,2,1651564800.0
536,2022050315,3929,858,15,1,2,1651561200.0
537,2022050314,3369,858,14,1,2,1651557600.0
538,2022050313,2413,858,13,1,2,1651554000.0
539,2022050312,2300,858,12,1,2,1651550400.0
540,2022050311,4070,858,11,1,2,1651546800.0
541,2022050310,5434,858,10,1,2,1651543200.0
542,2022050309,6728,858,9,1,2,1651539600.0
543,2022050308,5060,858,8,1,2,1651536000.0
544,2022050307,806,858,7,2,2,1651532400.0
545,2022050306,150,858,6,3,2,1651528800.0
546,2022050305,94,858,5,3,2,1651525200.0
547,2022050304,20,858,4,3,2,1651521600.0
548,2022050303,50,858,3,3,2,1651518000.0
549,2022050302,34,858,2,3,2,1651514400.0
550,2022050301,113,858,1,3,2,1651510800.0
551,2022050300,160,858,0,3,2,1651507200.0
552,2022050223,475,857,23,3,2,1651503600.0
553,2022050222,810,857,22,2,2,1651500000.0
554,2022050221,1365,857,21,2,2,1651496400.0
555,2022050220,1598,857,20,2,2,1651492800.0
556,2022050219,1835,857,19,2,2,1651489200.0
557,2022050218,2467,857,18,1,2,1651485600.0
558,2022050217,3796,857,17,1,2,1651482000.0
559,2022050216,4221,857,16,1,2,1651478400.0
560,2022050215,4607,857,15,1,2,1651474800.0
